country,continent,year,lifeExp,pop,gdpPercap,log_gdp,gdp_billions
Afghanistan,Asia,1952,28.801,8425333,779.4453145,2.8917856507063857,6.567086329952229
Afghanistan,Asia,1957,30.332,9240934,820.8530296,2.914265405417257,7.585448670233647
Afghanistan,Asia,1962,31.997,10267083,853.10071,2.931000303401415,8.75885579692893
Afghanistan,Asia,1967,34.02,11537966,836.1971382,2.9223086768880684,9.648014149848901
Afghanistan,Asia,1972,36.088,13079460,739.9811058,2.8692206308775194,9.678553274066868
Afghanistan,Asia,1977,38.438,14880372,786.11336,2.895485177175058,11.697659230969919
Afghanistan,Asia,1982,39.854,12881816,978.0114388,2.9903439343158915,12.598563400516861
Afghanistan,Asia,1987,40.822,13867957,852.3959448,2.9306413749286353,11.820990309460774
Afghanistan,Asia,1992,41.674,16317921,649.3413952,2.8124730898185284,10.595901588903379
Afghanistan,Asia,1997,41.763,22227415,635.341351,2.8030071221803685,14.121995875337666
Afghanistan,Asia,2002,42.129,25268405,726.7340548,2.861375511734737,18.363410423978593
Afghanistan,Asia,2007,43.828,31889923,974.5803384,2.988817645491286,31.079291948889942
Albania,Europe,1952,55.23,1282697,1601.056136,3.204406559356923,2.053669902478792
Albania,Europe,1957,59.28,1476505,1942.284244,3.288312787141212,2.86779239768722
Albania,Europe,1962,64.82,1728137,2312.888958,3.364154782755279,3.996988985211246
Albania,Europe,1967,66.22,1984060,2760.196931,3.440940068657805,5.47639632291986
Albania,Europe,1972,67.69,2263554,3313.422188,3.5202767761285583,7.500110047336152
Albania,Europe,1977,68.93,2509048,3533.00391,3.548144118071835,8.86447639437768
Albania,Europe,1982,70.42,2780097,3630.880722,3.5600119821466922,10.094200602590034
Albania,Europe,1987,72,3075321,3738.932735,3.5727476520809116,11.498418357532934
Albania,Europe,1992,71.581,3326498,2497.437901,3.397494698264056,8.307722182800697
Albania,Europe,1997,72.95,3428038,3193.054604,3.5042063454148353,10.945912518586953
Albania,Europe,2002,75.651,3508512,4604.211737,3.6631552876111546,16.153932129805344
Albania,Europe,2007,76.423,3600523,5937.029526,3.773569208762169,21.3764113600421
Algeria,Africa,1952,43.077,9279525,2449.008185,3.3889902366128295,22.725632677912124
